[1.561944842338562, 1.0]
[1.5543749332427979, 1.0]
[1.5553096532821655, 1.0]
[1.553049921989441, 1.0]
[1.5481460094451904, 1.0]
[1.544758915901184, 1.0]
[1.5466042757034302, 1.0]
[1.5458571910858154, 1.0]
[1.543309211730957, 1.0]
[1.5404832363128662, 1.0]
[1.5343774557113647, 1.0]
[1.5288596153259277, 1.0]
[1.523581624031067, 1.0]
[1.5205260515213013, 1.0]
[1.5146809816360474, 1.0]
[1.511073112487793, 1.0]
[1.5027287006378174, 1.0]
[1.4943453073501587, 1.0]
[1.4843624830245972, 1.0]
[1.4780457019805908, 1.0]
[1.4706124067306519, 1.0]
[1.4599347114562988, 1.0]
[1.4516253471374512, 1.0]
[1.4431959390640259, 1.0]
[1.4294366836547852, 1.0]
[1.4138221740722656, 1.0]
[1.4033575057983398, 1.0]
[1.3937755823135376, 1.0]
[1.3857868909835815, 1.0]
[1.3775062561035156, 1.0]
[1.3705204725265503, 1.0]
[1.3615270853042603, 1.0]
[1.3535947799682617, 1.0]
[1.3459343910217285, 1.0]
[1.3400157690048218, 1.0]
[1.3361244201660156, 1.0]
[1.3329153060913086, 1.0]
[1.3311041593551636, 1.0]
[1.3290568590164185, 1.0]
[1.3273931741714478, 1.0]
[1.3251855373382568, 1.0]
[1.3225630521774292, 1.0]
[1.3202217817306519, 1.0]
[1.317243218421936, 1.0]
[1.3152611255645752, 1.0]
[1.3129550218582153, 1.0]
[1.3109973669052124, 1.0]
[1.3088749647140503, 1.0]
[1.306820034980774, 1.0]
[1.3049863576889038, 1.0]
[1.3029072284698486, 1.0]
[1.3017113208770752, 1.0]
[1.3007352352142334, 1.0]
[1.299269676208496, 1.0]
[1.2978700399398804, 1.0]
[1.296966552734375, 1.0]
[1.2957532405853271, 1.0]
[1.2950166463851929, 1.0]
[1.2943073511123657, 1.0]
[1.2938392162322998, 1.0]
[1.2933969497680664, 1.0]
[1.2922778129577637, 1.0]
[1.2914892435073853, 1.0]
[1.2904863357543945, 1.0]
[1.2895796298980713, 1.0]
[1.2887523174285889, 1.0]
[1.2876715660095215, 1.0]
[1.2867070436477661, 1.0]
[1.2858428955078125, 1.0]
[1.2841315269470215, 1.0]
[1.2822107076644897, 1.0]
[1.2807570695877075, 1.0]
[1.2794082164764404, 1.0]
[1.2781298160552979, 1.0]
[1.27685546875, 1.0]
[1.275724172592163, 1.0]
[1.2744853496551514, 1.0]
[1.2731977701187134, 1.0]
[1.2719987630844116, 1.0]
[1.2709964513778687, 1.0]
[1.2701245546340942, 1.0]
[1.268585443496704, 1.0]
[1.2675172090530396, 1.0]
[1.2665183544158936, 1.0]
[1.2655131816864014, 1.0]
[1.2645901441574097, 1.0]
[1.2637126445770264, 1.0]
[1.2629271745681763, 1.0]
[1.2622255086898804, 1.0]
[1.2615375518798828, 1.0]
[1.2607332468032837, 1.0]
[1.2593111991882324, 1.0]
[1.2583117485046387, 1.0]
[1.2571606636047363, 1.0]
[1.256608009338379, 1.0]
[1.2558720111846924, 1.0]
[1.2552589178085327, 1.0]
[1.254623532295227, 1.0]
[1.2541288137435913, 1.0]
[1.2535804510116577, 1.0]
